label,text,text_proc
false,Says the Annies List political group supports third-trimester abortions on demand.,says annies list political group supports third trimester abortions demand
half-true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,decline coal start started natural gas took started begin president george w bushs administration
mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",hillary clinton agrees john mccain voting give george bush benefit doubt iran
false,Health care reform legislation is likely to mandate free sex change surgeries.,health care reform legislation likely mandate free sex change surgeries
half-true,The economic turnaround started at the end of my term.,economic turnaround started end term
true,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,chicago bears starting quarterbacks last num_token years total number tenured uw faculty fired last two decades
barely-true,Jim Dunnam has not lived in the district he represents for years now.,jim dunnam lived district represents years
half-true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",person stage worked actively last year passing along russ feingold toughest ethics reform since watergate
half-true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",however took num_token million oregon lottery funds port newport eventually land new noaa marine operations center pacific
mostly-true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,says gop primary opponents glenn grothman joe leibham cast compromise vote cost num_token million higher electricity costs
mostly-true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",first time history share national popular vote margin smaller latino vote margin
half-true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",since num_token nearly num_token million americans slipped middle class poverty
false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",mitt romney governor massachusetts didnt slow rate growth government actually cut
mostly-true,The economy bled $24 billion due to the government shutdown.,economy bled num_token billion due government shutdown
barely-true,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,affordable care act already sense waived otherwise suspended
half-true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",last election november num_token percent american people chose vote num_token percent young people num_token percent low income workers chose vote
true,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,mccain opposed requirement government buy american made motorcycles said buy american provisions quote disgraceful
barely-true,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",u rep ron kind wis fellow democrats went spending spree credit card maxed
half-true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",water rates manila philippines raised num_token percent subsidiary world bank became partial owner
mostly-true,"Almost 100,000 people left Puerto Rico last year.",almost num_token people left puerto rico last year
false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,women men making less adjust inflation john kitzhaber first elected governor
mostly-true,The United States has the highest corporate tax rate in the free world.,united states highest corporate tax rate free world
mostly-true,We just had the best year for the auto industry in America in history.,best year auto industry america history
half-true,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",says scott walker favors cutting num_token families children health care
barely-true,Says Mitt Romney wants to get rid of Planned Parenthood.,says mitt romney wants get rid planned parenthood
false,I dont know who (Jonathan Gruber) is.,dont know jonathan gruber
